Date,Summary,Keywords,Url
2016-05-11T00:00:00Z,A frenzied escalation of violence over the last few days is threatening a cease-fire that was supposed to build confidence for peace talks.,"['Yemen', 'Houthis', 'Al Qaeda in the Arabian Peninsula', 'Taiz (Yemen)', 'Saudi Arabia']",http://www.nytimes.com/2016/05/11/world/middleeast/yemen-civil-war.html
1874-05-12T00:03:58Z,,[],http://query.nytimes.com/gst/abstract.html?res=9E05E4DF143BEF34BC4A52DFB366838F669FDE
1939-04-17T00:00:00Z,,"['AYER , WILLIAM WARD']",http://query.nytimes.com/gst/abstract.html?res=9E01E5D7103CE73ABC4F52DFB2668382629EDE
1907-05-12T00:00:00Z,,[],http://query.nytimes.com/gst/abstract.html?res=9A07E0DE1539E733A25751C1A9639C946697D6CF
1881-10-12T00:03:58Z,,[],http://query.nytimes.com/gst/abstract.html?res=9403E6DD103EE433A25751C1A9669D94609FD7CF
1870-06-13T00:03:58Z,"It is becoming a matter of interest, not only to the Democratic Party, but to its opponents, to ascertain the probable position which it will occupy in the canvass of 1872. Usually, the issues upon which Presidential contests are to be fought are substantially determined, or at least strongly foreshadowed, in the intervening State elections.",[],http://query.nytimes.com/gst/abstract.html?res=9C00E1DE1F3CE13BBC4B52DFB066838B669FDE
1908-08-18T00:00:00Z,"ST. LOUIS, Aug. 17. -- If William M. Coyne is to regain his memory completely, physicians say, he must observe these rules:",[],http://query.nytimes.com/gst/abstract.html?res=9F04E4D61639E333A2575BC1A96E9C946997D6CF
1911-05-08T00:00:00Z,"Crouching till they almost lay at length on the floor, that they might catch such pure air as there was beneath the smoke, Lieut. Decker and the crew of Engine 24 held the squirming nozzle of a high-pressure hose on the third floor landing within the seven-story loft building at 8-10-12 Jones Street at 8 o'clock last night.",[],http://query.nytimes.com/gst/abstract.html?res=9B05EFDA1031E233A2575BC0A9639C946096D6CF
1985-08-12T00:00:00Z,"Against the scale of suffering that was commonplace here in the first 30 years of Communist rule, the two women were minor casualties, incidental figures in a huge tableau of repression. But they were Americans, and the punishment they endured seems to have been senseless even by the obscure standards of the time. Seraphine and Marjorie Fuller, a devoutly Christian mother and daughter living quietly by themselves in Shanghai, answered a knock on the door one day in 1959 to find agents of the feared Public Security Bureau waiting to take them to a labor camp.","['FULLER, SERAPHINE', 'FULLER, MARJORIE', ""CHINA, PEOPLE'S REPUBLIC OF"", 'HARBIN (CHINA)', 'FOREIGN POPULATION AND FOREIGN DESCENT GROUPS']",http://www.nytimes.com/1985/08/12/world/2-cling-to-china-even-after-21-years-of-no-choice.html
1932-01-10T00:00:00Z,"MADRID, Jan. 8. -- The Liberals of Spain are finding that, although a form of government may be swept out, as was the monarchy, much debris remains.","['KLUCKHOHN, FRANK L', 'MADRID', 'SPAIN', 'DISPATCHES', 'POLITICS AND GOVERNMENT']",http://query.nytimes.com/gst/abstract.html?res=9F0CE1DC1E3FE633A25753C1A9679C946394D6CF
2016-05-11T00:00:00Z,A frenzied escalation of violence over the last few days is threatening a cease-fire that was supposed to build confidence for peace talks.,"['Yemen', 'Houthis', 'Al Qaeda in the Arabian Peninsula', 'Taiz (Yemen)', 'Saudi Arabia']",http://www.nytimes.com/2016/05/11/world/middleeast/yemen-civil-war.html
1874-05-12T00:03:58Z,,[],http://query.nytimes.com/gst/abstract.html?res=9E05E4DF143BEF34BC4A52DFB366838F669FDE
1939-04-17T00:00:00Z,,"['AYER , WILLIAM WARD']",http://query.nytimes.com/gst/abstract.html?res=9E01E5D7103CE73ABC4F52DFB2668382629EDE
1907-05-12T00:00:00Z,,[],http://query.nytimes.com/gst/abstract.html?res=9A07E0DE1539E733A25751C1A9639C946697D6CF
1881-10-12T00:03:58Z,,[],http://query.nytimes.com/gst/abstract.html?res=9403E6DD103EE433A25751C1A9669D94609FD7CF
1870-06-13T00:03:58Z,"It is becoming a matter of interest, not only to the Democratic Party, but to its opponents, to ascertain the probable position which it will occupy in the canvass of 1872. Usually, the issues upon which Presidential contests are to be fought are substantially determined, or at least strongly foreshadowed, in the intervening State elections.",[],http://query.nytimes.com/gst/abstract.html?res=9C00E1DE1F3CE13BBC4B52DFB066838B669FDE
1908-08-18T00:00:00Z,"ST. LOUIS, Aug. 17. -- If William M. Coyne is to regain his memory completely, physicians say, he must observe these rules:",[],http://query.nytimes.com/gst/abstract.html?res=9F04E4D61639E333A2575BC1A96E9C946997D6CF
1911-05-08T00:00:00Z,"Crouching till they almost lay at length on the floor, that they might catch such pure air as there was beneath the smoke, Lieut. Decker and the crew of Engine 24 held the squirming nozzle of a high-pressure hose on the third floor landing within the seven-story loft building at 8-10-12 Jones Street at 8 o'clock last night.",[],http://query.nytimes.com/gst/abstract.html?res=9B05EFDA1031E233A2575BC0A9639C946096D6CF
1985-08-12T00:00:00Z,"Against the scale of suffering that was commonplace here in the first 30 years of Communist rule, the two women were minor casualties, incidental figures in a huge tableau of repression. But they were Americans, and the punishment they endured seems to have been senseless even by the obscure standards of the time. Seraphine and Marjorie Fuller, a devoutly Christian mother and daughter living quietly by themselves in Shanghai, answered a knock on the door one day in 1959 to find agents of the feared Public Security Bureau waiting to take them to a labor camp.","['FULLER, SERAPHINE', 'FULLER, MARJORIE', ""CHINA, PEOPLE'S REPUBLIC OF"", 'HARBIN (CHINA)', 'FOREIGN POPULATION AND FOREIGN DESCENT GROUPS']",http://www.nytimes.com/1985/08/12/world/2-cling-to-china-even-after-21-years-of-no-choice.html
1932-01-10T00:00:00Z,"MADRID, Jan. 8. -- The Liberals of Spain are finding that, although a form of government may be swept out, as was the monarchy, much debris remains.","['KLUCKHOHN, FRANK L', 'MADRID', 'SPAIN', 'DISPATCHES', 'POLITICS AND GOVERNMENT']",http://query.nytimes.com/gst/abstract.html?res=9F0CE1DC1E3FE633A25753C1A9679C946394D6CF
2016-05-11T00:00:00Z,A frenzied escalation of violence over the last few days is threatening a cease-fire that was supposed to build confidence for peace talks.,"['Yemen', 'Houthis', 'Al Qaeda in the Arabian Peninsula', 'Taiz (Yemen)', 'Saudi Arabia']",http://www.nytimes.com/2016/05/11/world/middleeast/yemen-civil-war.html
1874-05-12T00:03:58Z,,[],http://query.nytimes.com/gst/abstract.html?res=9E05E4DF143BEF34BC4A52DFB366838F669FDE
1939-04-17T00:00:00Z,,"['AYER , WILLIAM WARD']",http://query.nytimes.com/gst/abstract.html?res=9E01E5D7103CE73ABC4F52DFB2668382629EDE
1907-05-12T00:00:00Z,,[],http://query.nytimes.com/gst/abstract.html?res=9A07E0DE1539E733A25751C1A9639C946697D6CF
1881-10-12T00:03:58Z,,[],http://query.nytimes.com/gst/abstract.html?res=9403E6DD103EE433A25751C1A9669D94609FD7CF
1870-06-13T00:03:58Z,"It is becoming a matter of interest, not only to the Democratic Party, but to its opponents, to ascertain the probable position which it will occupy in the canvass of 1872. Usually, the issues upon which Presidential contests are to be fought are substantially determined, or at least strongly foreshadowed, in the intervening State elections.",[],http://query.nytimes.com/gst/abstract.html?res=9C00E1DE1F3CE13BBC4B52DFB066838B669FDE
1908-08-18T00:00:00Z,"ST. LOUIS, Aug. 17. -- If William M. Coyne is to regain his memory completely, physicians say, he must observe these rules:",[],http://query.nytimes.com/gst/abstract.html?res=9F04E4D61639E333A2575BC1A96E9C946997D6CF
1911-05-08T00:00:00Z,"Crouching till they almost lay at length on the floor, that they might catch such pure air as there was beneath the smoke, Lieut. Decker and the crew of Engine 24 held the squirming nozzle of a high-pressure hose on the third floor landing within the seven-story loft building at 8-10-12 Jones Street at 8 o'clock last night.",[],http://query.nytimes.com/gst/abstract.html?res=9B05EFDA1031E233A2575BC0A9639C946096D6CF
1985-08-12T00:00:00Z,"Against the scale of suffering that was commonplace here in the first 30 years of Communist rule, the two women were minor casualties, incidental figures in a huge tableau of repression. But they were Americans, and the punishment they endured seems to have been senseless even by the obscure standards of the time. Seraphine and Marjorie Fuller, a devoutly Christian mother and daughter living quietly by themselves in Shanghai, answered a knock on the door one day in 1959 to find agents of the feared Public Security Bureau waiting to take them to a labor camp.","['FULLER, SERAPHINE', 'FULLER, MARJORIE', ""CHINA, PEOPLE'S REPUBLIC OF"", 'HARBIN (CHINA)', 'FOREIGN POPULATION AND FOREIGN DESCENT GROUPS']",http://www.nytimes.com/1985/08/12/world/2-cling-to-china-even-after-21-years-of-no-choice.html
1932-01-10T00:00:00Z,"MADRID, Jan. 8. -- The Liberals of Spain are finding that, although a form of government may be swept out, as was the monarchy, much debris remains.","['KLUCKHOHN, FRANK L', 'MADRID', 'SPAIN', 'DISPATCHES', 'POLITICS AND GOVERNMENT']",http://query.nytimes.com/gst/abstract.html?res=9F0CE1DC1E3FE633A25753C1A9679C946394D6CF
2016-05-11T00:00:00Z,A frenzied escalation of violence over the last few days is threatening a cease-fire that was supposed to build confidence for peace talks.,"['Yemen', 'Houthis', 'Al Qaeda in the Arabian Peninsula', 'Taiz (Yemen)', 'Saudi Arabia']",http://www.nytimes.com/2016/05/11/world/middleeast/yemen-civil-war.html
1874-05-12T00:03:58Z,,[],http://query.nytimes.com/gst/abstract.html?res=9E05E4DF143BEF34BC4A52DFB366838F669FDE
1939-04-17T00:00:00Z,,"['AYER , WILLIAM WARD']",http://query.nytimes.com/gst/abstract.html?res=9E01E5D7103CE73ABC4F52DFB2668382629EDE
1907-05-12T00:00:00Z,,[],http://query.nytimes.com/gst/abstract.html?res=9A07E0DE1539E733A25751C1A9639C946697D6CF
1881-10-12T00:03:58Z,,[],http://query.nytimes.com/gst/abstract.html?res=9403E6DD103EE433A25751C1A9669D94609FD7CF
1870-06-13T00:03:58Z,"It is becoming a matter of interest, not only to the Democratic Party, but to its opponents, to ascertain the probable position which it will occupy in the canvass of 1872. Usually, the issues upon which Presidential contests are to be fought are substantially determined, or at least strongly foreshadowed, in the intervening State elections.",[],http://query.nytimes.com/gst/abstract.html?res=9C00E1DE1F3CE13BBC4B52DFB066838B669FDE
1908-08-18T00:00:00Z,"ST. LOUIS, Aug. 17. -- If William M. Coyne is to regain his memory completely, physicians say, he must observe these rules:",[],http://query.nytimes.com/gst/abstract.html?res=9F04E4D61639E333A2575BC1A96E9C946997D6CF
1911-05-08T00:00:00Z,"Crouching till they almost lay at length on the floor, that they might catch such pure air as there was beneath the smoke, Lieut. Decker and the crew of Engine 24 held the squirming nozzle of a high-pressure hose on the third floor landing within the seven-story loft building at 8-10-12 Jones Street at 8 o'clock last night.",[],http://query.nytimes.com/gst/abstract.html?res=9B05EFDA1031E233A2575BC0A9639C946096D6CF
1985-08-12T00:00:00Z,"Against the scale of suffering that was commonplace here in the first 30 years of Communist rule, the two women were minor casualties, incidental figures in a huge tableau of repression. But they were Americans, and the punishment they endured seems to have been senseless even by the obscure standards of the time. Seraphine and Marjorie Fuller, a devoutly Christian mother and daughter living quietly by themselves in Shanghai, answered a knock on the door one day in 1959 to find agents of the feared Public Security Bureau waiting to take them to a labor camp.","['FULLER, SERAPHINE', 'FULLER, MARJORIE', ""CHINA, PEOPLE'S REPUBLIC OF"", 'HARBIN (CHINA)', 'FOREIGN POPULATION AND FOREIGN DESCENT GROUPS']",http://www.nytimes.com/1985/08/12/world/2-cling-to-china-even-after-21-years-of-no-choice.html
1932-01-10T00:00:00Z,"MADRID, Jan. 8. -- The Liberals of Spain are finding that, although a form of government may be swept out, as was the monarchy, much debris remains.","['KLUCKHOHN, FRANK L', 'MADRID', 'SPAIN', 'DISPATCHES', 'POLITICS AND GOVERNMENT']",http://query.nytimes.com/gst/abstract.html?res=9F0CE1DC1E3FE633A25753C1A9679C946394D6CF
2016-05-11T00:00:00Z,A frenzied escalation of violence over the last few days is threatening a cease-fire that was supposed to build confidence for peace talks.,"['Yemen', 'Houthis', 'Al Qaeda in the Arabian Peninsula', 'Taiz (Yemen)', 'Saudi Arabia']",http://www.nytimes.com/2016/05/11/world/middleeast/yemen-civil-war.html
1874-05-12T00:03:58Z,,[],http://query.nytimes.com/gst/abstract.html?res=9E05E4DF143BEF34BC4A52DFB366838F669FDE
1939-04-17T00:00:00Z,,"['AYER , WILLIAM WARD']",http://query.nytimes.com/gst/abstract.html?res=9E01E5D7103CE73ABC4F52DFB2668382629EDE
1907-05-12T00:00:00Z,,[],http://query.nytimes.com/gst/abstract.html?res=9A07E0DE1539E733A25751C1A9639C946697D6CF
1881-10-12T00:03:58Z,,[],http://query.nytimes.com/gst/abstract.html?res=9403E6DD103EE433A25751C1A9669D94609FD7CF
1870-06-13T00:03:58Z,"It is becoming a matter of interest, not only to the Democratic Party, but to its opponents, to ascertain the probable position which it will occupy in the canvass of 1872. Usually, the issues upon which Presidential contests are to be fought are substantially determined, or at least strongly foreshadowed, in the intervening State elections.",[],http://query.nytimes.com/gst/abstract.html?res=9C00E1DE1F3CE13BBC4B52DFB066838B669FDE
1908-08-18T00:00:00Z,"ST. LOUIS, Aug. 17. -- If William M. Coyne is to regain his memory completely, physicians say, he must observe these rules:",[],http://query.nytimes.com/gst/abstract.html?res=9F04E4D61639E333A2575BC1A96E9C946997D6CF
1911-05-08T00:00:00Z,"Crouching till they almost lay at length on the floor, that they might catch such pure air as there was beneath the smoke, Lieut. Decker and the crew of Engine 24 held the squirming nozzle of a high-pressure hose on the third floor landing within the seven-story loft building at 8-10-12 Jones Street at 8 o'clock last night.",[],http://query.nytimes.com/gst/abstract.html?res=9B05EFDA1031E233A2575BC0A9639C946096D6CF
1985-08-12T00:00:00Z,"Against the scale of suffering that was commonplace here in the first 30 years of Communist rule, the two women were minor casualties, incidental figures in a huge tableau of repression. But they were Americans, and the punishment they endured seems to have been senseless even by the obscure standards of the time. Seraphine and Marjorie Fuller, a devoutly Christian mother and daughter living quietly by themselves in Shanghai, answered a knock on the door one day in 1959 to find agents of the feared Public Security Bureau waiting to take them to a labor camp.","['FULLER, SERAPHINE', 'FULLER, MARJORIE', ""CHINA, PEOPLE'S REPUBLIC OF"", 'HARBIN (CHINA)', 'FOREIGN POPULATION AND FOREIGN DESCENT GROUPS']",http://www.nytimes.com/1985/08/12/world/2-cling-to-china-even-after-21-years-of-no-choice.html
1932-01-10T00:00:00Z,"MADRID, Jan. 8. -- The Liberals of Spain are finding that, although a form of government may be swept out, as was the monarchy, much debris remains.","['KLUCKHOHN, FRANK L', 'MADRID', 'SPAIN', 'DISPATCHES', 'POLITICS AND GOVERNMENT']",http://query.nytimes.com/gst/abstract.html?res=9F0CE1DC1E3FE633A25753C1A9679C946394D6CF
2016-05-11T00:00:00Z,A frenzied escalation of violence over the last few days is threatening a cease-fire that was supposed to build confidence for peace talks.,"['Yemen', 'Houthis', 'Al Qaeda in the Arabian Peninsula', 'Taiz (Yemen)', 'Saudi Arabia']",http://www.nytimes.com/2016/05/11/world/middleeast/yemen-civil-war.html
1874-05-12T00:03:58Z,,[],http://query.nytimes.com/gst/abstract.html?res=9E05E4DF143BEF34BC4A52DFB366838F669FDE
1939-04-17T00:00:00Z,,"['AYER , WILLIAM WARD']",http://query.nytimes.com/gst/abstract.html?res=9E01E5D7103CE73ABC4F52DFB2668382629EDE
1907-05-12T00:00:00Z,,[],http://query.nytimes.com/gst/abstract.html?res=9A07E0DE1539E733A25751C1A9639C946697D6CF
1881-10-12T00:03:58Z,,[],http://query.nytimes.com/gst/abstract.html?res=9403E6DD103EE433A25751C1A9669D94609FD7CF
1870-06-13T00:03:58Z,"It is becoming a matter of interest, not only to the Democratic Party, but to its opponents, to ascertain the probable position which it will occupy in the canvass of 1872. Usually, the issues upon which Presidential contests are to be fought are substantially determined, or at least strongly foreshadowed, in the intervening State elections.",[],http://query.nytimes.com/gst/abstract.html?res=9C00E1DE1F3CE13BBC4B52DFB066838B669FDE
1908-08-18T00:00:00Z,"ST. LOUIS, Aug. 17. -- If William M. Coyne is to regain his memory completely, physicians say, he must observe these rules:",[],http://query.nytimes.com/gst/abstract.html?res=9F04E4D61639E333A2575BC1A96E9C946997D6CF
1911-05-08T00:00:00Z,"Crouching till they almost lay at length on the floor, that they might catch such pure air as there was beneath the smoke, Lieut. Decker and the crew of Engine 24 held the squirming nozzle of a high-pressure hose on the third floor landing within the seven-story loft building at 8-10-12 Jones Street at 8 o'clock last night.",[],http://query.nytimes.com/gst/abstract.html?res=9B05EFDA1031E233A2575BC0A9639C946096D6CF
1985-08-12T00:00:00Z,"Against the scale of suffering that was commonplace here in the first 30 years of Communist rule, the two women were minor casualties, incidental figures in a huge tableau of repression. But they were Americans, and the punishment they endured seems to have been senseless even by the obscure standards of the time. Seraphine and Marjorie Fuller, a devoutly Christian mother and daughter living quietly by themselves in Shanghai, answered a knock on the door one day in 1959 to find agents of the feared Public Security Bureau waiting to take them to a labor camp.","['FULLER, SERAPHINE', 'FULLER, MARJORIE', ""CHINA, PEOPLE'S REPUBLIC OF"", 'HARBIN (CHINA)', 'FOREIGN POPULATION AND FOREIGN DESCENT GROUPS']",http://www.nytimes.com/1985/08/12/world/2-cling-to-china-even-after-21-years-of-no-choice.html
1932-01-10T00:00:00Z,"MADRID, Jan. 8. -- The Liberals of Spain are finding that, although a form of government may be swept out, as was the monarchy, much debris remains.","['KLUCKHOHN, FRANK L', 'MADRID', 'SPAIN', 'DISPATCHES', 'POLITICS AND GOVERNMENT']",http://query.nytimes.com/gst/abstract.html?res=9F0CE1DC1E3FE633A25753C1A9679C946394D6CF
2016-05-11T00:00:00Z,A frenzied escalation of violence over the last few days is threatening a cease-fire that was supposed to build confidence for peace talks.,"['Yemen', 'Houthis', 'Al Qaeda in the Arabian Peninsula', 'Taiz (Yemen)', 'Saudi Arabia']",http://www.nytimes.com/2016/05/11/world/middleeast/yemen-civil-war.html
1874-05-12T00:03:58Z,,[],http://query.nytimes.com/gst/abstract.html?res=9E05E4DF143BEF34BC4A52DFB366838F669FDE
1939-04-17T00:00:00Z,,"['AYER , WILLIAM WARD']",http://query.nytimes.com/gst/abstract.html?res=9E01E5D7103CE73ABC4F52DFB2668382629EDE
1907-05-12T00:00:00Z,,[],http://query.nytimes.com/gst/abstract.html?res=9A07E0DE1539E733A25751C1A9639C946697D6CF
1881-10-12T00:03:58Z,,[],http://query.nytimes.com/gst/abstract.html?res=9403E6DD103EE433A25751C1A9669D94609FD7CF
1870-06-13T00:03:58Z,"It is becoming a matter of interest, not only to the Democratic Party, but to its opponents, to ascertain the probable position which it will occupy in the canvass of 1872. Usually, the issues upon which Presidential contests are to be fought are substantially determined, or at least strongly foreshadowed, in the intervening State elections.",[],http://query.nytimes.com/gst/abstract.html?res=9C00E1DE1F3CE13BBC4B52DFB066838B669FDE
1908-08-18T00:00:00Z,"ST. LOUIS, Aug. 17. -- If William M. Coyne is to regain his memory completely, physicians say, he must observe these rules:",[],http://query.nytimes.com/gst/abstract.html?res=9F04E4D61639E333A2575BC1A96E9C946997D6CF
